age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
40, Private,47902, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
40, ?,273425, Assoc-voc,11, Married-civ-spouse, ?, Husband, White, Male,0,0,15, United-States, <=50K
67, ?,92061, HS-grad,9, Widowed, ?, Other-relative, White, Female,0,0,8, United-States, <=50K
30, Local-gov,182926, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,15024,0,40, United-States, >50K
31, Private,227325, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
21, Private,209483, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,47, United-States, <=50K
24, Private,283757, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Male,0,0,39, United-States, <=50K
43, Local-gov,147328, Masters,14, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,1977,60, United-States, >50K
25, Self-emp-not-inc,136450, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States, >50K
35, Private,30529, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
41, Local-gov,176716, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K
22, Private,156933, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,25, United-States, <=50K
35, Private,172186, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
47, Federal-gov,168109, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,70, United-States, <=50K
47, Self-emp-not-inc,249585, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States, <=50K
20, Private,116791, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, White, Female,0,0,40, United-States, <=50K
30, Self-emp-not-inc,226535, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, Mexico, <=50K
18, Federal-gov,201686, 11th,7, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,4, United-States, <=50K
57, Private,176079, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
30, Private,255486, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,25, United-States, <=50K
26, Private,202033, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, >50K
49, Private,209146, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K
35, Self-emp-not-inc,31095, Some-college,10, Separated, Farming-fishing, Not-in-family, White, Male,4101,0,60, United-States, <=50K
25, Private,160445, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
45, Self-emp-not-inc,275445, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Male,0,0,50, United-States, <=50K
33, Private,122672, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K
56, Private,102106, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
47, Private,223342, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,2174,0,40, England, <=50K
51, Private,305147, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
29, Private,380560, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, <=50K
42, Private,175526, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
70, Private,30713, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30, United-States, <=50K
48, Local-gov,40666, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
25, Private,207875, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico, <=50K
37, Private,177895, Some-college,10, Married-civ-spouse, Tech-support, Wife, White, Female,5013,0,40, United-States, <=50K
39, Private,191161, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2457,40, United-States, <=50K
52, Private,141301, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, Other, Female,0,0,40, China, <=50K
41, Private,171615, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, >50K
44, Local-gov,241851, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White, Male,4386,0,40, United-States, >50K
44, Private,249332, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, Ecuador, <=50K
48, Private,98524, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
57, Private,200453, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States, >50K
48, Private,325372, 1st-4th,2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Portugal, <=50K
53, Private,197492, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
24, Private,230248, 7th-8th,4, Separated, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private,196943, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,40, Dominican-Republic, <=50K
35, Private,99357, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,3887,0,50, United-States, >50K
50, Private,339954, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
38, Private,22245, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States, >50K
65, Private,172906, HS-grad,9, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
33, Private,160784, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
50, Federal-gov,307555, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,60, United-States, >50K
63, Local-gov,57674, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States, <=50K
47, Federal-gov,204900, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,40, United-States, <=50K
32, Private,236543, 12th,8, Married-civ-spouse, Craft-repair, Other-relative, White, Male,0,0,40, Mexico, <=50K
21, Private,177526, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
68, Private,91048, HS-grad,9, Divorced, Machine-op-inspct, Own-child, Black, Female,0,0,35, United-States, <=50K
73, Self-emp-inc,92886, 10th,6, Widowed, Sales, Unmarried, White, Female,0,0,40, Canada, <=50K
27, Private,219863, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, <=50K
79, ?,163140, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, >50K
