tid,attribute,correct_val
0,ProviderNumber,120014
0,HospitalName,WILCOX MEMORIAL HOSPITAL
0,City,LIHUE
0,State,HI
0,ZipCode,96766.0
0,CountyName,KAUAI
0,PhoneNumber,8082451103.0
0,HospitalType,Acute Care Hospitals
0,HospitalOwner,Government - Federal
0,EmergencyService,Yes
0,Condition,Pneumonia
0,MeasureCode,PN-5C
0,MeasureName,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
0,Stateavg,HI_PN-5C
1,ProviderNumber,30074
1,HospitalName,SELLS INDIAN HEALTH SERVICE HOSPITAL
1,City,SELLS
1,State,AZ
1,ZipCode,85634.0
1,CountyName,PIMA
1,PhoneNumber,5203837200.0
1,HospitalType,Acute Care Hospitals
1,HospitalOwner,Government - Federal
1,EmergencyService,Yes
1,Condition,Surgical Infection Prevention
1,MeasureCode,SCIP-INF-1
1,MeasureName,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
1,Stateavg,AZ_SCIP-INF-1
2,ProviderNumber,10120
2,HospitalName,MONROE COUNTY HOSPITAL
2,City,MONROEVILLE
2,State,AL
2,ZipCode,36461.0
2,CountyName,MONROE
2,PhoneNumber,2515753111.0
2,HospitalType,Acute Care Hospitals
2,HospitalOwner,Government - Local
2,EmergencyService,Yes
2,Condition,Surgical Infection Prevention
2,MeasureCode,SCIP-INF-2
2,MeasureName,surgery patients who were given the  right kind  of antibiotic to help prevent infection
2,Stateavg,AL_SCIP-INF-2
3,ProviderNumber,30013
3,HospitalName,YUMA REGIONAL MEDICAL CENTER
3,City,YUMA
3,State,AZ
3,ZipCode,85364.0
3,CountyName,YUMA
3,PhoneNumber,9283367275.0
3,HospitalType,Acute Care Hospitals
3,HospitalOwner,Voluntary non-profit - Private
3,EmergencyService,Yes
3,Condition,Surgical Infection Prevention
3,MeasureCode,SCIP-INF-3
3,MeasureName,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
3,Stateavg,AZ_SCIP-INF-3
4,ProviderNumber,10064F
4,HospitalName,MIAMI VA MEDICAL CENTER
4,City,MIAMI
4,State,FL
4,ZipCode,33125.0
4,CountyName,MIAMI-DADE
4,PhoneNumber,3053244455.0
4,HospitalType,Acute Care - VA Medical Center
4,HospitalOwner,Government Federal
4,EmergencyService,No
4,Condition,Pneumonia
4,MeasureCode,PN-5C
4,MeasureName,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
4,Stateavg,FL_PN-5C
5,ProviderNumber,70007
5,HospitalName,LAWRENCE & MEMORIAL HOSPITAL
5,City,NEW LONDON
5,State,CT
5,ZipCode,6320.0
5,CountyName,NEW LONDON
5,PhoneNumber,8604420711.0
5,HospitalType,Acute Care Hospitals
5,HospitalOwner,Government - Hospital District or Authority
5,EmergencyService,Yes
5,Condition,Surgical Infection Prevention
5,MeasureCode,SCIP-INF-2
