comment_id,author,date,old_text,expected_label,cid,text,model_pred,vectors
LZQPQhLyRh80UYxNuaDWhIGQYNQ96IuCg-AYWqNPjpU,Julius NM,2013-11-07T06:20:48,"Huh, anyway check out this you[tube] channel: kobyoshi02",1,1,huh  anyway check out this you tube  channel  kobyoshi  ,0,"1,1,0,1,1,1,1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
LZQPQhLyRh_C2cTtd9MvFRJedxydaVW-2sNg5Diuo4A,adam riyati,2013-11-07T12:37:15,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1,2,hey guys check out my new channel and our first vid this is us the  monkeys    i m the monkey in the white shirt please leave a like comment  and please subscribe    ,1,"-1,-1,0,1,-1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
z13jhp0bxqncu512g22wvzkasxmvvzjaz04,ElNino Melendez,2013-11-09T08:28:43,me shaking my sexy ass on my channel enjoy ^_^ ﻿,1,4,me shaking my sexy ass on my channel enjoy     ,1,"-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
z13fwbwp1oujthgqj04chlngpvzmtt3r3dw,GsMega,2013-11-10T16:05:38,watch?v=vtaRGgvGtWQ   Check this out .﻿,1,5,watch v vtarggvgtwq   check this out  ,0,"-1,-1,0,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
LZQPQhLyRh9-wNRtlZDM90f1k0BrdVdJyN_YsaSwfxc,Jason Haddad,2013-11-26T02:55:11,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1,6,hey  check out my new website   this site is about kids stuff  kidsmediausa    com,0,"-1,-1,0,1,-1,-1,-1,1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
z13lfzdo5vmdi1cm123te5uz2mqig1brz04,ferleck ferles,2013-11-27T21:39:24,Subscribe to my channel ﻿,1,7,subscribe to my channel ,1,"-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
z122wfnzgt30fhubn04cdn3xfx2mxzngsl40k,Bob Kanowski,2013-11-28T12:33:27,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,0,8,i turned it on mute as soon is i came on i just wanted to check the  views   ,0,"-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
z13ttt1jcraqexk2o234ghbgzxymz1zzi04,Cony,2013-11-28T16:01:47,You should check my channel for Funny VIDEOS!!﻿,1,9,you should check my channel for funny videos  ,0,"-1,-1,0,-1,-1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
z12avveb4xqiirsix04chxviiljryduwxg0,BeBe Burkey,2013-11-28T16:30:13,and u should.d check my channel and tell me what I should do next!﻿,1,10,and u should d check my channel and tell me what i should do next ,0,"-1,-1,0,-1,-1,1,-1,-1,-1,0,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1"
z13auhww3oufjn1qo04ci3grqqjmfjexxuo0k,Huckyduck,2013-11-28T17:06:17,Hey subscribe to me﻿,1,11,hey subscribe to me,1,"-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
z13xit5agm2zyh4f523rst2gowmbx5bml,Lone Twistt,2013-11-28T17:34:55, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1,12, once you have started reading do not stop  if you do not subscribe to me  within one day you and you re entire family will die so if you want to stay  alive subscribe right now ,1,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1"
z121zxaxsq25z5k5o04ch1o5jqqfij3gtm40k,TheUploadaddict,2013-11-28T18:12:12,subscribe like comment﻿,1,14,subscribe like comment,1,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1"
z12oglnpoq3gjh4om04cfdlbgp2uepyytpw0k,Francisco Nora,2013-11-28T19:52:35,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,1,15,please like  d https   premium easypromosapp com voteme                ,1,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1"
z13phrmwrkfisn5er22eyrbpbvaiwfvwf04,Gaming and Stuff PRO,2013-11-28T21:14:13,"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",1,16,hello  do you like gaming  art videos  scientific experiments  tutorials   lyrics videos  and much  much more of that  if you do please check out our  channel and subscribe to it  we ve just started  but soon we hope we will  be able to cover all of our expectations    you can also check out what  we ve got so far ,0,"-1,-1,0,1,-1,1,-1,-1,-1,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1"
z13etj0bclzfztuwc04cgfvrgmf3fvjor1g,Jose Renteria,2013-11-29T00:22:01,"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1,20,we are an edm apparel company dedicated to bringing you music inspired  designs  our clothing is perfect for any rave or music festival  we have  neon crop tops  tank tops  t shirts  v necks and accessories  follow us on  facebook or on instagraml for free giveaways news and more   visit our site  at oncueapparel,1,"-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1"
z12axnji5w2axxht522thb3bktvqjdlbp04,zhichao wang,2013-11-29T02:13:56,i think about 100 millions of the views come from people who only wanted to  check the views﻿,0,21,i think about     millions of the views come from people who only wanted to  check the views,0,"-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
z13ozdmr4lf3uzc5z04cix2zkyjzgvcyemw0k,Carlos Thegamer,2013-12-01T01:20:21,subscribe to my channel people :D﻿,1,22,subscribe to my channel people  d,1,"-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
LZQPQhLyRh9EXArr4ZnVcDonSbvSMHKYOT24e_qR6fE,||GuitarZ||,2013-12-23T12:54:38,CHECK OUT MY CHANNEL,1,25,check out my channel,0,"-1,-1,0,1,-1,1,-1,-1,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
LZQPQhLyRh9vw01Xvvw5yWzZEUOPG1hSgRMHep55-Yw,8-BitMusic,2013-12-27T23:07:50,Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1,27,hey guys  im a    yr old music producer  i make chiptunes and  bit music   it would be wonderful if you checked out some of my  bit remixes  i even  have a gangnamstyle  bit remix if you would like to check that out     thanks  ,0,"-1,-1,0,1,-1,-1,-1,1,1,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1"
z13kszcinpnvc34v2234fnpxkpmlw3nhc04,Kyle Jaber,2014-01-19T00:21:29,Check me out! I'm kyle. I rap so yeah ﻿,1,28,check me out  i m kyle  i rap so yeah ,0,"-1,-1,0,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
z13tj514otzlurfbc04ccjwhrnmej1iihqw0k,Brandon Pryor,2014-01-19T00:36:25,I dont even watch it anymore i just come here to check on 2 Billion or not﻿,0,29,i dont even watch it anymore i just come here to check on   billion or not,0,"-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1"
